model,attack,epsilon,synset,class_name,n_samples,baseline_acc,adv_acc,acc_drop,normalized_drop,is_fragile
maxvit_t,pgd,0.00784313725490196,n03908618,pencil_box,50,0.86,0.14,0.72,0.8372,1
maxvit_t,pgd,0.00784313725490196,n10148035,groom,50,0.86,0.22,0.64,0.7442,1
maxvit_t,pgd,0.00784313725490196,n01697457,African_crocodile,50,0.86,0.34,0.52,0.6047,1
maxvit_t,pgd,0.00784313725490196,n01537544,indigo_bunting,50,0.94,0.58,0.36,0.383,0
maxvit_t,pgd,0.00784313725490196,n03841143,odometer,50,1.0,0.74,0.26,0.26,0
maxvit_t,pgd,0.00784313725490196,n13044778,earthstar,50,1.0,0.8,0.2,0.2,0
maxvit_t,pgd,0.00784313725490196,n01820546,lorikeet,50,1.0,0.86,0.14,0.14,0
maxvit_t,pgd,0.00784313725490196,n12057211,yellow_lady's_slipper,50,1.0,1.0,0.0,0.0,0
maxvit_t,pgd,0.01568627450980392,n03908618,pencil_box,50,0.86,0.06,0.8,0.9302,1
maxvit_t,pgd,0.01568627450980392,n03995372,power_drill,50,0.82,0.02,0.8,0.9756,1
maxvit_t,pgd,0.01568627450980392,n04209239,shower_curtain,50,0.82,0.04,0.78,0.9512,1
maxvit_t,pgd,0.01568627450980392,n10148035,groom,50,0.86,0.14,0.72,0.8372,1
maxvit_t,pgd,0.01568627450980392,n01697457,African_crocodile,50,0.86,0.16,0.7,0.814,1
maxvit_t,pgd,0.01568627450980392,n01537544,indigo_bunting,50,0.94,0.36,0.58,0.617,0
maxvit_t,pgd,0.01568627450980392,n01820546,lorikeet,50,1.0,0.56,0.44,0.44,0
maxvit_t,pgd,0.01568627450980392,n03841143,odometer,50,1.0,0.62,0.38,0.38,0
maxvit_t,pgd,0.01568627450980392,n13044778,earthstar,50,1.0,0.72,0.28,0.28,0
maxvit_t,pgd,0.01568627450980392,n12057211,yellow_lady's_slipper,50,1.0,0.92,0.08,0.08,0
maxvit_t,pgd,0.03137254901960784,n03908618,pencil_box,50,0.86,0.04,0.82,0.9535,1
maxvit_t,pgd,0.03137254901960784,n03995372,power_drill,50,0.82,0.0,0.82,1.0,1
maxvit_t,pgd,0.03137254901960784,n04209239,shower_curtain,50,0.82,0.02,0.8,0.9756,1
maxvit_t,pgd,0.03137254901960784,n10148035,groom,50,0.86,0.06,0.8,0.9302,1
maxvit_t,pgd,0.03137254901960784,n01697457,African_crocodile,50,0.86,0.1,0.76,0.8837,1
maxvit_t,pgd,0.03137254901960784,n01537544,indigo_bunting,50,0.94,0.24,0.7,0.7447,0
maxvit_t,pgd,0.03137254901960784,n01820546,lorikeet,50,1.0,0.3,0.7,0.7,0
maxvit_t,pgd,0.03137254901960784,n03841143,odometer,50,1.0,0.4,0.6,0.6,0
maxvit_t,pgd,0.03137254901960784,n13044778,earthstar,50,1.0,0.46,0.54,0.54,0
maxvit_t,pgd,0.03137254901960784,n12057211,yellow_lady's_slipper,50,1.0,0.6,0.4,0.4,0
