model,attack,epsilon,synset,class_name,n_samples,baseline_acc,adv_acc,acc_drop,normalized_drop,is_fragile
maxvit_t,pgd,0.00784313725490196,n02105855,Shetland_sheepdog,50,0.9,0.16,0.74,0.8222,1
maxvit_t,pgd,0.00784313725490196,n04597913,wooden_spoon,50,0.84,0.1,0.74,0.881,1
maxvit_t,pgd,0.00784313725490196,n07711569,mashed_potato,50,0.8,0.1,0.7,0.875,1
maxvit_t,pgd,0.00784313725490196,n01498041,stingray,50,0.9,0.4,0.5,0.5556,1
maxvit_t,pgd,0.00784313725490196,n02116738,African_hunting_dog,50,1.0,0.62,0.38,0.38,0
maxvit_t,pgd,0.00784313725490196,n03733131,maypole,50,1.0,0.64,0.36,0.36,0
maxvit_t,pgd,0.00784313725490196,n13044778,earthstar,50,1.0,0.76,0.24,0.24,0
maxvit_t,pgd,0.00784313725490196,n02013706,limpkin,50,1.0,0.86,0.14,0.14,0
maxvit_t,pgd,0.00784313725490196,n12057211,yellow_lady's_slipper,50,1.0,0.96,0.04,0.04,0
maxvit_t,pgd,0.01568627450980392,n02105855,Shetland_sheepdog,50,0.9,0.08,0.82,0.9111,1
maxvit_t,pgd,0.01568627450980392,n03995372,power_drill,50,0.82,0.04,0.78,0.9512,1
maxvit_t,pgd,0.01568627450980392,n04597913,wooden_spoon,50,0.84,0.08,0.76,0.9048,1
maxvit_t,pgd,0.01568627450980392,n07711569,mashed_potato,50,0.8,0.04,0.76,0.95,1
maxvit_t,pgd,0.01568627450980392,n01498041,stingray,50,0.9,0.18,0.72,0.8,1
maxvit_t,pgd,0.01568627450980392,n03733131,maypole,50,1.0,0.4,0.6,0.6,0
maxvit_t,pgd,0.01568627450980392,n02116738,African_hunting_dog,50,1.0,0.48,0.52,0.52,0
maxvit_t,pgd,0.01568627450980392,n13044778,earthstar,50,1.0,0.54,0.46,0.46,0
maxvit_t,pgd,0.01568627450980392,n02013706,limpkin,50,1.0,0.7,0.3,0.3,0
maxvit_t,pgd,0.01568627450980392,n12057211,yellow_lady's_slipper,50,1.0,0.92,0.08,0.08,0
maxvit_t,pgd,0.03137254901960784,n01498041,stingray,50,0.9,0.02,0.88,0.9778,1
maxvit_t,pgd,0.03137254901960784,n02105855,Shetland_sheepdog,50,0.9,0.04,0.86,0.9556,1
maxvit_t,pgd,0.03137254901960784,n04597913,wooden_spoon,50,0.84,0.04,0.8,0.9524,1
maxvit_t,pgd,0.03137254901960784,n07711569,mashed_potato,50,0.8,0.0,0.8,1.0,1
maxvit_t,pgd,0.03137254901960784,n03995372,power_drill,50,0.82,0.04,0.78,0.9512,1
maxvit_t,pgd,0.03137254901960784,n02116738,African_hunting_dog,50,1.0,0.24,0.76,0.76,0
maxvit_t,pgd,0.03137254901960784,n03733131,maypole,50,1.0,0.28,0.72,0.72,0
maxvit_t,pgd,0.03137254901960784,n13044778,earthstar,50,1.0,0.28,0.72,0.72,0
maxvit_t,pgd,0.03137254901960784,n02013706,limpkin,50,1.0,0.34,0.66,0.66,0
maxvit_t,pgd,0.03137254901960784,n12057211,yellow_lady's_slipper,50,1.0,0.56,0.44,0.44,0
