synset,y_true,acc_clean,acc_corrupt,rel_drop,abs_drop,mCE,RmCE,nCE,fragile_count
n01641577,30,0.8244444444444444,0.3731111111111111,0.547142628306128,0.45133333333333325,0.7644986449864498,0.867948717948718,0.9803069794381697,18
n03938244,721,0.9070588235294118,0.36088235294117643,0.6041916395458029,0.5461764705882353,0.6622980798537031,1.4963738920225627,1.0242409199966904,17
n01498041,6,0.90625,0.261875,0.7109702639519211,0.644375,0.8745556872037915,1.388739224137931,1.0232235013894402,16
n02105855,230,0.8586666666666666,0.40386666666666665,0.5313937563105485,0.4548,0.6609016999260902,0.9844155844155843,0.9825016202203497,15
n04200800,788,0.9093333333333333,0.4132,0.5478239146119581,0.49613333333333337,0.6336933045356371,1.2220032840722497,1.0367429387385505,15
n04597913,910,0.8480000000000001,0.3632,0.5731448891738664,0.4848,0.6598963730569949,1.9787755102040816,1.0817806537989512,15
